Q9826	high_school_18798
Q3914	school_13562
Q159334	secondary_school_6219
Q1080794	state_school_3480
Q1244442	school_building_2961
Q269770	boarding_school_1219
Q9842	primary_school_1153
Q2418495	independent_school_853
Q149566	middle_school_745
Q1143635	business_school_668
Q2385804	educational_institution_1909
Q23002054	private_not-for-profit_educational_institution_1506
Q38723	higher_education_institution_1024
Q4671277	academic_institution_3804
Q3918	university_9857
Q189004	college_2536
Q4671329	academy_2171
Q1663017	engineering_college_1167
Q902104	private_university_1000
Q2367225	student_activity_unit_1216
Q180958	faculty_893
Q23002039	public_educational_institution_of_the_united_states_1609
Q875538	public_university_1331
Q494230	medical_school_849
