Q3957	town_13524
Q735428	town_of_china_2979
Q74047	ghost_town_2899
Q174782	town_square_1969
Q7930989	city_or_town_1312
Q15219655	civil_town_of_wisconsin_1259
Q25550691	town_hall_1162
Q106071004	town_of_new_york_931
Q16830604	census_town_of_india_788
Q1059478	town_of_japan_744
Q42211429	township_of_minnesota_1664
Q9035798	township_of_pennsylvania_1575
Q17205621	township_of_iowa_1514
Q17198545	township_of_illinois_1448
Q17198620	township_of_ohio_1313
Q6270791	township_of_missouri_1227
Q17205774	township_of_michigan_1111
Q17201685	township_of_indiana_1009
Q1500350	township_of_china_997
Q17205735	township_of_kansas_817
Q15127012	town_in_the_united_states_5699
