Q176799	military_unit_15683
Q645883	military_operation_1821
Q245016	military_base_1221
Q169534	military_division_979
Q831663	military_campaign_769
Q2772772	military_museum_756
Q1788716	military_decoration_755
Q56019	military_rank_710
Q1785071	fort_1808
Q11446	ship_11760
Q178561	battle_11383
Q188055	siege_2306
Q198	war_1245
Q174736	destroyer_2804
Q428661	u-boat_1445
Q2811	submarine_1442
Q161705	frigate_1063
Q679165	squadron_1374
Q52371	regiment_893
Q3199915	massacre_1432
Q124734	rebellion_933
Q180684	conflict_920
Q1261499	naval_battle_1024
Q124056273	artillery_model_1237
Q100710213	combat_vehicle_model_1092
Q18487055	missile_model_783
Q15142894	weapon_model_2036
Q124078422	weapon_type_790
Q11167066	order_of_battle_700
Q2223653	terrorist_attack_700
Q204577	schooner_690
Q852190	shipwreck_1272
Q42314054	ammunition_model_925
Q575759	war_memorial_758
Q12859788	steamship_1668
Q132821	murder_1585
Q124757	riot_698
Q193622	order_855
Q559026	ship_class_2543
