Q36180	writer_119730
Q482980	author_5987
Q6625963	novelist_19708
Q49757	poet_37824
Q214917	playwright_9462
Q11774202	essayist_3297
Q15949613	shortstory_writer_1663
Q12144794	prosewriter_1460
Q11774156	memoirist_541
Q18939491	diarist_836
Q12406482	humorist_388
Q4263842	literarycritic_5459
Q17167049	literaryscholar_1582
Q13570226	literaryhistorian_1278
Q15962340	literarytheorist_261
Q6673651	literaryscholar_377
Q3332711	medievalist_761
Q8178443	librettist_1463
Q1086863	columnist_1619
Q11499929	manof_letters_506
Q27431213	cookbookwriter_253
Q10297252	crimefiction_writer_285
Q3075052	folklorist_736
Q14972848	lexicographer_1087
Q15991187	grammarian_256
Q17337766	theatrecritic_409
Q6430706	critic_865
Q4164507	artcritic_1218
Q4220892	filmcritic_1185
Q1350157	musiccritic_1302
Q1350189	egyptologist_527
Q1792450	arthistorian_5015
Q17391638	arttheorist_280
Q20198542	musichistorian_360
Q16031530	musictheorist_567
Q20826540	scholar_362
Q3330547	chronicler_334
Q860918	esperantist_521
Q333634	translator_15184
Q18814623	autobiographer_2362
Q1607826	editor_7038
Q18844224	sciencefiction_writer_3520
Q127695489	sciencefiction_fan_17
Q134885039	sciencefiction_scholar_3
Q108710753	speculativefiction_writer_4
Q47542857	speculativefiction_scholar_1
Q108710667	speculativefiction_author_1
Q135527453	german_u2013chinesetranslator_7
Q135414808	german_u2013polishtranslator_6
Q135247904	german_u2013ukrainiantranslator_3
Q135215714	german_u2013englishtranslator_3
Q135228907	german_u2013spanishtranslator_2
Q135235005	german_u2013slovaktranslator_1
Q135215996	german_u2013czechtranslator_1
Q115042469	coachof_a_german_national_team_1
Q1790480	translator_interpreter_8
Q4853732	children_swriter_5981
Q85305832	children_srights_activist_13
Q63798374	children_sbook_illustrator_13
Q64170610	children_sillustrator_11
Q70380618	children_sentertainer_10
Q8354948	children_srights_3
Q15637585	children_u2019snurse_2
Q21156438	children_sbook_illustration_1
Q2059800	governessof_the_children_of_france_1
Q11163999	children_sand_youth_literature_1
