Q81096	engineer_20441
Q1326886	electricalengineer_1376
Q13582652	civilengineer_2907
Q1906857	mechanicalengineer_941
Q7888586	chemicalengineer_491
Q42973	architect_15590
Q11295636	cardesigner_271
Q2815948	landscapearchitect_729
Q14623005	architecturaldraftsperson_260
Q11486702	architecturalhistorian_260
Q131062	urbanplanner_731
Q5482740	programmer_903
Q18576582	metallurgist_425
Q18524075	miningengineer_448
Q1734662	cartographer_1199
Q294126	landsurveyor_544
Q205375	inventor_4870
Q11085831	interpreter_262
Q3077352	computerscience_educator_3
Q1391300	computerscience_expert_2
Q112978310	computerscience_teacher_2
Q28344495	computersecurity_consultant_14
Q65952601	computersecurity_engineer_5
Q28920101	computersecurity_specialist_4
Q7245291	printer_sdevil_1
