QQ177220	singer_51783
QQ36834	composer_42912
QQ639669	musician_25233
QQ158852	conductor_8436
QQ183945	recordproducer_11338
QQ753110	songwriter_19644
QQ822146	lyricist_3106
QQ15981151	jazzmusician_8000
QQ2865819	operasinger_7128
QQ486748	pianist_10798
QQ855091	guitarist_9408
QQ584301	bassist_541
QQ386854	drummer_2430
QQ765778	organist_2241
QQ13219637	cellist_906
QQ1259917	violinist_2802
QQ899758	violist_272
QQ16003954	oboist_273
QQ118865	clarinetist_598
QQ12377274	trumpeter_826
QQ5371902	harpsichordist_441
QQ21166956	lutenist_264
QQ12902372	flautist_433
QQ4351403	percussionist_967
QQ12800682	saxophonist_2055
QQ19723482	mandolinist_311
QQ1075651	keyboardist_629
QQ9648008	banjoist_458
QQ3560496	fiddler_501
QQ6168364	jazzguitarist_1000
QQ61996187	classicalpianist_264
QQ24067349	classicalguitarist_471
QQ21680663	classicalcomposer_303
QQ1643514	musicarranger_907
QQ1076502	choirdirector_910
QQ806349	bandleader_1275
QQ1415090	filmscore_composer_1997
QQ3922505	djproducer_415
QQ55960555	recordingartist_3614
QQ2643890	vocalist_382
QQ2252262	rapper_5566
QQ1198887	musicdirector_646
QQ14915627	musicologist_4245
QQ1955150	musicalinstrument_maker_746
QQ128124	audioengineer_1556
QQ186370	troubadour_272
QQ3089940	musicexecutive_644
QQ3406651	radioproducer_315
QQ622807	seiy_u016b_2240
QQ12360214	bassguitarist_309
QQ1327329	multi_instrumentalist_272
QQ2340668	musicvideo_director_286
QQ488205	singer_songwriter_11524
